Date,ave_vote_metric,num_votes
1945-09-01,0.72,25
1945-10-01,0.6153846153846154,13
1945-11-01,0.5555555555555556,9
1945-12-01,0.375,24
1946-01-01,0.45454545454545453,11
1946-02-01,0.6666666666666666,18
1946-03-01,0.5,18
1946-04-01,0.5,30
1946-05-01,0.38,50
1946-06-01,0.4791666666666667,48
1946-07-01,0.6463414634146342,82
1946-08-01,0.8888888888888888,9
1947-01-01,0.4444444444444444,9
1947-02-01,0.4375,16
1947-03-01,0.7272727272727273,33
1947-04-01,0.5263157894736842,19
1947-05-01,0.475,40
1947-06-01,0.5666666666666667,30
1947-07-01,0.5245901639344263,61
1947-11-01,0.5,2
1947-12-01,0.4166666666666667,12
1948-01-01,0.3333333333333333,3
1948-02-01,0.625,16
1948-03-01,0.5666666666666667,30
1948-04-01,0.7307692307692307,26
1948-05-01,0.27586206896551724,29
1948-06-01,0.5068493150684932,73
1948-08-01,0.3333333333333333,12
1949-01-01,0.2857142857142857,14
1949-02-01,0.5714285714285714,14
1949-03-01,0.5777777777777778,45
1949-04-01,0.52,50
1949-05-01,0.5238095238095238,42
1949-06-01,0.42857142857142855,21
1949-07-01,0.4117647058823529,34
1949-08-01,0.4576271186440678,59
1949-09-01,0.59375,32
1949-10-01,0.5277777777777778,36
1950-01-01,0.5882352941176471,17
1950-02-01,0.49019607843137253,51
1950-03-01,0.4146341463414634,41
1950-04-01,0.7096774193548387,31
1950-05-01,0.5227272727272726,44
1950-06-01,0.525,40
1950-07-01,0.42424242424242425,33
1950-08-01,0.5217391304347826,69
1950-09-01,0.6857142857142857,35
1950-12-01,0.35294117647058826,17
1951-01-01,0.42857142857142855,14
1951-02-01,0.6,5
1951-03-01,0.1111111111111111,18
1951-04-01,0.34782608695652173,23
1951-05-01,0.24,25
1951-06-01,0.532258064516129,62
1951-07-01,0.574468085106383,47
1951-08-01,0.45652173913043476,46
1951-09-01,0.55,40
1951-10-01,0.5588235294117648,34
1952-01-01,0.6666666666666666,3
1952-02-01,0.5714285714285714,7
1952-03-01,0.375,24
1952-04-01,0.32,25
1952-05-01,0.391304347826087,23
1952-06-01,0.33333333333333337,87
1952-07-01,0.6875,16
1953-01-01,0.4,5
1953-02-01,0.9,10
1953-03-01,0.2857142857142857,7
1953-04-01,0.5384615384615384,13
1953-05-01,0.4,25
1953-06-01,0.696969696969697,33
1953-07-01,0.5606060606060606,66
1953-08-01,0.0,2
1954-01-01,0.7777777777777778,9
1954-02-01,0.75,16
1954-03-01,0.5714285714285714,21
1954-04-01,0.47619047619047616,21
1954-05-01,0.7916666666666666,24
1954-06-01,0.6206896551724137,29
1954-07-01,0.457142857142857,70
1954-08-01,0.6315789473684209,57
1955-01-01,0.7777777777777778,9
1955-02-01,0.42105263157894735,19
1955-03-01,0.3157894736842105,19
1955-04-01,0.3333333333333333,9
1955-05-01,0.6666666666666666,24
1955-06-01,0.926829268292683,41
1955-07-01,0.8055555555555556,36
1955-08-01,0.5,6
1956-01-01,1.0,3
1956-02-01,0.5714285714285714,14
1956-03-01,0.7142857142857143,42
1956-04-01,0.5714285714285714,14
1956-05-01,0.3783783783783784,37
1956-06-01,0.7241379310344827,29
1956-07-01,0.5625,64
1957-01-01,0.6,5
1957-02-01,0.6,5
1957-03-01,0.2222222222222222,18
1957-04-01,0.3181818181818182,22
1957-05-01,0.2916666666666667,24
1957-06-01,0.6285714285714286,35
1957-07-01,0.5714285714285714,21
1957-08-01,0.7012987012987012,77
1958-01-01,1.0,4
1958-02-01,0.5555555555555556,18
1958-03-01,0.6216216216216216,37
1958-04-01,0.625,32
1958-05-01,0.55,20
1958-06-01,0.6515151515151515,66
1958-07-01,0.6595744680851066,47
1958-08-01,0.6376811594202898,69
1959-01-01,0.3333333333333333,6
1959-02-01,0.35714285714285715,14
1959-03-01,0.34782608695652173,23
1959-04-01,0.5,30
1959-05-01,0.4,25
1959-06-01,0.5740740740740741,54
1959-07-01,0.4897959183673469,49
1959-08-01,0.5925925925925924,54
1959-09-01,0.5744680851063829,47
1960-02-01,0.6086956521739131,23
1960-03-01,0.8444444444444444,45
1960-04-01,0.7419354838709677,31
1960-05-01,0.5172413793103448,58
1960-06-01,0.6385542168674698,83
1960-07-01,0.75,12
1960-08-01,0.5250000000000001,40
1961-01-01,0.0,4
1961-03-01,0.4864864864864865,37
1961-04-01,0.3333333333333333,12
1961-05-01,0.37142857142857144,35
1961-06-01,0.40384615384615385,52
1961-07-01,0.6,40
1961-08-01,0.48,75
1961-09-01,0.6,65
1962-01-01,0.5714285714285714,7
1962-02-01,0.5625,16
1962-03-01,0.55,20
1962-04-01,0.8095238095238095,21
1962-05-01,0.40625,32
1962-06-01,0.4878048780487805,41
1962-07-01,0.484848484848485,33
1962-08-01,0.7746478873239436,71
1962-09-01,0.582089552238806,67
1962-10-01,0.75,40
1963-01-01,0.0,4
1963-02-01,0.42857142857142855,7
1963-03-01,0.8571428571428571,7
1963-04-01,0.5,38
1963-05-01,0.5833333333333334,48
1963-06-01,0.7222222222222222,18
1963-07-01,0.6875,16
1963-08-01,0.5952380952380952,42
1963-09-01,0.4838709677419355,31
